Timestamp,CPU,Memory,Network
1746629110,1,1,1
1746629170,11,14,17
1746629230,11,22,64
1746629290,11,2,11
1746629350,9,19,9
1746629410,39,32,2
1746629470,47,37,64
1746629530,74,5,43
1746629590,40,30,50
1746629650,40,18,5
1746629710,9,58,8
1746629770,15,43,2
1746629830,16,69,49
1746629890,12,44,31
1746629950,20,36,6
1746630010,39,71,43
1746630070,57,66,63
1746630130,44,50,49
1746630190,58,10,57
1746630250,5,55,81
1746630310,7,54,14
1746630370,63,19,43
1746630430,55,41,59
1746630490,70,84,71
1746630550,72,66,50
1746630610,18,19,41
1746630670,21,19,64
1746630730,31,18,1
1746630790,71,34,64
1746630850,28,27,41
1746630910,45,36,19
1746630970,20,40,36
1746631030,59,29,47
1746631090,28,21,31
1746631150,33,25,13
1746631210,37,38,33
1746631270,56,46,52
1746631330,46,51,47
1746631390,22,52,35
1746631450,69,0,8
1746631510,47,10,69
1746631570,48,41,9
1746631630,74,18,43
1746631690,69,48,18
1746631750,66,45,62
1746631810,29,74,56
1746631870,25,29,45
1746631930,46,13,32
1746631990,34,9,16
1746632050,36,17,32
1746632110,28,49,9
1746632170,30,23,32
1746632230,4,33,20
1746632290,26,6,69
1746632350,42,20,42
1746632410,63,7,73
1746632470,24,18,26
1746632530,19,11,48
1746632590,4,5,72
1746632650,71,20,19
