Timestamp,CPU,Memory,Network
1746629110,0,0,0
1746629170,18,20,7
1746629230,7,4,27
1746629290,62,58,1
1746629350,34,56,73
1746629410,42,16,61
1746629470,65,42,69
1746629530,48,60,13
1746629590,37,41,56
1746629650,8,0,30
1746629710,9,48,7
1746629770,11,45,49
1746629830,19,24,7
1746629890,13,30,23
1746629950,38,96,32
1746630010,1,26,36
1746630070,6,24,24
1746630130,27,22,54
1746630190,38,15,80
1746630250,29,18,59
1746630310,56,42,10
1746630370,56,47,14
1746630430,69,3,69
1746630490,74,0,67
1746630550,61,40,20
1746630610,36,57,67
1746630670,26,95,54
1746630730,13,37,2
1746630790,22,27,34
1746630850,8,43,4
1746630910,74,37,48
1746630970,43,65,31
1746631030,34,40,32
1746631090,62,30,63
1746631150,63,68,56
1746631210,52,44,66
1746631270,30,65,57
1746631330,23,6,11
1746631390,1,55,20
1746631450,16,38,3
1746631510,73,44,50
1746631570,38,33,28
1746631630,10,36,46
1746631690,45,17,39
1746631750,33,78,10
1746631810,34,35,6
1746631870,35,53,45
1746631930,47,47,60
1746631990,58,38,23
1746632050,9,36,59
1746632110,51,16,37
1746632170,10,56,82
1746632230,29,25,2
1746632290,5,70,45
1746632350,29,21,57
1746632410,40,30,32
1746632470,69,34,46
1746632530,26,29,98
1746632590,45,43,29
1746632650,52,63,40
