Timestamp,CPU,Memory,Network
1746629110,3,3,3
1746629170,69,62,56
1746629230,8,53,32
1746629290,5,28,39
1746629350,20,36,2
1746629410,5,9,62
1746629470,19,93,74
1746629530,23,6,22
1746629590,50,20,39
1746629650,3,31,58
1746629710,1,29,46
1746629770,55,36,0
1746629830,94,31,68
1746629890,46,40,47
1746629950,57,73,33
1746630010,51,12,52
1746630070,60,1,44
1746630130,61,27,55
1746630190,13,97,35
1746630250,71,17,20
1746630310,12,74,4
1746630370,53,5,21
1746630430,51,71,25
1746630490,63,15,73
1746630550,45,26,8
1746630610,32,29,37
1746630670,62,11,45
1746630730,61,12,10
1746630790,31,66,56
1746630850,47,32,38
1746630910,36,70,0
1746630970,37,37,9
1746631030,56,40,47
1746631090,62,50,23
1746631150,63,35,1
1746631210,57,26,57
1746631270,99,52,54
1746631330,59,55,61
1746631390,1,25,9
1746631450,33,13,64
1746631510,54,43,38
1746631570,78,63,31
1746631630,72,68,74
1746631690,15,30,16
1746631750,26,36,68
1746631810,40,39,21
1746631870,70,24,72
1746631930,85,55,19
1746631990,50,56,84
1746632050,8,23,31
1746632110,24,3,43
1746632170,69,6,20
1746632230,43,57,60
1746632290,41,25,44
1746632350,43,36,30
1746632410,31,4,70
1746632470,17,50,51
1746632530,52,38,1
1746632590,29,22,68
1746632650,39,62,29
