Timestamp,CPU,Memory,Network
1746629110,0,0,0
1746629170,22,19,52
1746629230,69,17,65
1746629290,41,53,21
1746629350,38,42,16
1746629410,27,57,53
1746629470,45,39,26
1746629530,47,24,42
1746629590,3,46,92
1746629650,39,62,44
1746629710,74,44,7
1746629770,80,21,43
1746629830,44,90,17
1746629890,34,23,14
1746629950,45,9,57
1746630010,66,66,54
1746630070,5,56,52
1746630130,8,27,33
1746630190,49,98,29
1746630250,25,28,38
1746630310,24,58,70
1746630370,39,17,27
1746630430,67,69,39
1746630490,3,66,46
1746630550,13,9,73
1746630610,64,29,14
1746630670,61,29,65
1746630730,50,55,10
1746630790,36,55,55
1746630850,33,49,0
1746630910,33,33,33
1746630970,27,58,61
1746631030,33,46,48
1746631090,1,29,35
1746631150,26,19,59
1746631210,5,46,25
1746631270,61,15,68
1746631330,56,63,5
1746631390,32,74,2
1746631450,9,3,68
1746631510,71,48,52
1746631570,56,47,1
1746631630,33,46,3
1746631690,6,42,26
1746631750,37,8,17
1746631810,25,69,2
1746631870,30,60,43
1746631930,40,60,43
1746631990,48,15,74
1746632050,24,19,33
1746632110,18,47,19
1746632170,18,5,14
1746632230,73,38,13
1746632290,39,29,42
1746632350,71,47,48
1746632410,38,42,33
1746632470,51,0,27
1746632530,34,52,49
1746632590,28,18,11
1746632650,20,52,38
