Timestamp,CPU usage,Memory usage,Network received,Network transmitted
1376314846,3.3666666666666667,425021.33333333326,12.0,8.2
1376315146,3.7,441798.66666666674,12.333333333333336,9.133333333333333
1376315446,3.4,525684.0,12.266666666666667,8.266666666666667
1376315746,3.333333333333333,346727.7333333333,11.533333333333333,7.6
1376316046,3.533333333333333,408244.26666666666,10.6,6.8
1376316346,3.166666666666667,682272.0,11.6,7.4
1376316646,3.3666666666666667,447390.13333333336,11.266666666666667,7.133333333333334
1376316946,3.666666666666667,352320.0,11.4,8.0
1376317246,3.333333333333333,480944.8,11.0,6.666666666666668
1376317546,3.1,548054.9333333332,10.933333333333335,6.866666666666666
1376317846,3.9,564832.0,11.0,7.2666666666666675
1376318146,3.633333333333333,704641.6,9.133333333333333,4.466666666666667
1376318446,3.0,425021.6,7.6,2.066666666666667
1376318746,3.3,631939.7333333333,7.666666666666668,3.0
1376319046,3.0,592793.3333333335,7.333333333333332,2.2
1376319346,3.0,452984.26666666655,7.333333333333332,2.333333333333333
1376319646,3.3,452984.0,7.333333333333332,2.6666666666666665
1376319946,3.0,436206.4,7.133333333333334,1.8
1376320246,3.0,397058.66666666674,7.066666666666666,1.8
1376320546,3.3,542461.3333333335,7.333333333333332,2.7333333333333334
1376320846,3.0,648717.8666666667,7.066666666666666,2.0
1376321146,3.0,609570.9333333332,7.066666666666666,1.8666666666666667
1376321446,3.333333333333333,357912.53333333327,7.333333333333332,2.466666666666667
1376321746,3.0,520092.8,7.466666666666668,2.2666666666666666
1376322046,3.0,385875.2,7.2,2.2
1376322346,3.333333333333333,492130.1333333334,7.2,2.8
1376322647,3.033333333333333,380282.4,7.0,2.0
1376322947,3.0,285210.9333333333,7.0,2.0
1376323247,3.3,452983.2,7.133333333333334,2.466666666666667
1376323547,3.0,503315.2,7.066666666666666,1.9333333333333331
1376323847,3.033333333333333,464168.53333333327,7.0,1.9333333333333331
1376324147,3.3,676679.7333333333,7.133333333333334,2.7333333333333334
1376324447,3.066666666666667,503315.2,7.066666666666666,1.7333333333333334
1376324747,3.0,436205.6,7.133333333333334,1.7333333333333334
1376325047,3.3666666666666667,503315.2,7.2,2.6
1376325347,3.0,441798.93333333335,7.0,1.7333333333333334
1376325647,2.966666666666667,536868.8,7.133333333333334,1.8666666666666667
1376325947,3.3,469760.53333333327,7.466666666666668,2.8666666666666667
1376326247,3.0,486538.4,7.466666666666668,2.2
1376326547,3.0,380281.8666666666,7.333333333333332,2.2666666666666666
1376326847,3.3666666666666667,452983.2,7.2666666666666675,2.466666666666667
1376327147,3.033333333333333,637532.8,7.2666666666666675,2.1333333333333333
1376327447,3.0,469760.8,7.333333333333332,2.1333333333333333
1376327747,3.3,643125.0666666668,7.4,2.933333333333333
