Date,Time,CPU,RAM,CHANNEL
2013-08-12,16:40:46,3.3666666666666667,5.066649119059244,12.0
2013-08-12,16:45:46,3.7,5.266650517781576,12.333333333333336
2013-08-12,16:50:46,3.4,6.266641616821289,12.266666666666667
2013-08-12,16:55:46,3.333333333333333,4.1333166758219395,11.533333333333333
2013-08-12,17:00:46,3.533333333333333,4.866650899251302,10.6
2013-08-12,17:05:46,3.166666666666667,8.133316040039062,11.6
2013-08-12,17:10:46,3.3666666666666667,5.333305994669597,11.266666666666667
2013-08-12,17:15:46,3.666666666666667,4.199981689453125,11.4
2013-08-12,17:20:46,3.333333333333333,5.733308792114258,11.0
2013-08-12,17:25:46,3.1,6.533323923746743,10.933333333333335
2013-08-12,17:30:46,3.9,6.7333221435546875,11.0
2013-08-12,17:35:46,3.633333333333333,8.399982452392578,9.133333333333333
2013-08-12,17:40:46,3.0,5.066652297973633,7.6
2013-08-12,17:45:46,3.3,7.533308664957682,7.666666666666668
2013-08-12,17:50:46,3.0,7.066647211710614,7.333333333333332
2013-08-12,17:55:46,3.0,5.399993260701496,7.333333333333332
2013-08-12,18:00:46,3.3,5.399990081787109,7.333333333333332
2013-08-12,18:05:46,3.0,5.199985504150391,7.133333333333334
2013-08-12,18:10:46,3.0,4.733308156331381,7.066666666666666
2013-08-12,18:15:46,3.3,6.466643015543622,7.333333333333332
2013-08-12,18:20:46,3.0,7.733319600423178,7.066666666666666
2013-08-12,18:25:46,3.0,7.266651789347329,7.066666666666666
2013-08-12,18:30:46,3.333333333333333,4.266649881998697,7.333333333333332
2013-08-12,18:35:46,3.0,6.199989318847656,7.466666666666668
2013-08-12,18:40:46,3.0,4.5999908447265625,7.2
2013-08-12,18:45:46,3.333333333333333,5.866648356119793,7.2
2013-08-12,18:50:47,3.033333333333333,4.533319473266602,7.0
2013-08-12,18:55:47,3.0,3.3999792734781895,7.0
2013-08-12,19:00:47,3.3,5.399980545043945,7.133333333333334
2013-08-12,19:05:47,3.0,5.9999847412109375,7.066666666666666
2013-08-12,19:10:47,3.033333333333333,5.533320109049479,7.0
2013-08-12,19:15:47,3.3,8.066651026407877,7.133333333333334
2013-08-12,19:20:47,3.066666666666667,5.9999847412109375,7.066666666666666
2013-08-12,19:25:47,3.0,5.199975967407227,7.133333333333334
2013-08-12,19:30:47,3.3666666666666667,5.9999847412109375,7.2
2013-08-12,19:35:47,3.0,5.266653696695964,7.0
